id,employee_id,org_id,amount,created_at,source
1,14,1,341.54,2025-02-25,REIMBURSABLE
2,8,1,1285.78,2024-10-08,CORPORATE_CARD
3,8,1,310.47,2025-03-26,CORPORATE_CARD
4,8,1,2407.27,2025-03-06,CORPORATE_CARD
5,9,1,527.13,2025-03-17,REIMBURSABLE
6,9,1,2460.98,2025-02-20,CORPORATE_CARD
7,9,1,696.14,2025-02-04,REIMBURSABLE
8,9,1,1104.24,2025-03-05,CORPORATE_CARD
9,9,1,93.27,2025-02-11,REIMBURSABLE
10,9,1,1666.88,2024-11-23,CORPORATE_CARD
11,9,1,367.38,2025-01-07,REIMBURSABLE
12,9,1,832.3,2024-10-01,CORPORATE_CARD
13,9,1,499.8,2024-12-13,CORPORATE_CARD
14,6,1,2259.44,2025-02-14,CORPORATE_CARD
15,6,1,2088.47,2024-11-02,CORPORATE_CARD
16,6,1,1088.97,2025-03-25,CORPORATE_CARD
17,6,1,1119.35,2025-03-30,CORPORATE_CARD
18,6,1,954.55,2025-02-20,REIMBURSABLE
19,6,1,347.71,2024-10-12,REIMBURSABLE
20,6,1,2381.2,2025-03-22,CORPORATE_CARD
21,6,1,277.32,2024-12-20,REIMBURSABLE
22,6,1,64.99,2025-03-20,REIMBURSABLE
23,6,1,1927.01,2025-01-11,CORPORATE_CARD
24,6,1,1583.67,2025-03-28,CORPORATE_CARD
25,6,1,466.93,2024-11-15,REIMBURSABLE
26,6,1,1648.74,2025-03-07,CORPORATE_CARD
27,6,1,1033.92,2025-01-14,REIMBURSABLE
28,6,1,270.42,2024-12-21,REIMBURSABLE
29,6,1,641.77,2025-03-27,CORPORATE_CARD
30,6,1,963.69,2024-10-30,REIMBURSABLE
31,6,1,2231.28,2025-03-08,CORPORATE_CARD
32,6,1,1380.98,2025-03-03,CORPORATE_CARD
33,6,1,574.86,2024-12-21,REIMBURSABLE
34,6,1,2103.66,2024-12-04,CORPORATE_CARD
35,6,1,1315.22,2024-12-15,CORPORATE_CARD
36,13,1,102.21,2025-03-26,REIMBURSABLE
37,13,1,856.22,2025-03-17,CORPORATE_CARD
38,13,1,285.2,2025-03-27,REIMBURSABLE
39,13,1,86.43,2024-11-30,REIMBURSABLE
40,13,1,1178.16,2024-12-30,CORPORATE_CARD
41,13,1,509.97,2025-03-25,REIMBURSABLE
42,13,1,921.06,2024-10-15,REIMBURSABLE
43,13,1,2358.29,2024-10-29,CORPORATE_CARD
44,13,1,2137.28,2025-01-21,CORPORATE_CARD
